abbreviation,definition,comment,source,is_prepositive
підруч.,підручник,,dstu,0
пкарта,перфокарта,,dstu,0
пл.,площа,При назві,dstu,1
планув.,планування,,dstu,0
пластич.,пластичний,,dstu,0
плем.,племінний,,dstu,0
повідомл.,повідомлення,,dstu,0
поетич.,поетичний,,dstu,0
покажч.,покажчик,,dstu,0
показн.,показник,,dstu,0
полем.,полемічний,,dstu,0
полігр.,поліграфічний,,dstu,0
політол.,політологія,,dstu,0
полтав.,полтавський,,dstu,0
пом.,помічник,,dstu,0
попул.,популярний,,dstu,0
портр.,портрет,,dstu,0
посіб.,посібник,,dstu,0
почат.,початковий,,dstu,0
поясн.,пояснення,,dstu,0
пр.,праці,У значенні: «Наукові роботи»,dstu,0
пр.,примірник,При цифрах,dstu,0
правл.,правління,,dstu,0
правознав.,правознавство,,dstu,0
практ.,практичний,Скорочується також у заголовку опису,dstu,0
предм.,предметний,,dstu,0
препр.,препринт,,dstu,0
приватиз.,приватизація,,dstu,0
пригод.,пригодницький,,dstu,0
прикл.,приклад,,dstu,0
приклад.,прикладний,,dstu,0
прим.,примітка,,dstu,0
природн.,природничий,,dstu,0
присвяч.,присвячується,,dstu,0
пробл.,проблема,,dstu,0
пров.,провулок,При назві,dstu,1
прогр.,програма,,dstu,0
програмув.,програмування,,dstu,0
прод.,продовольчий,,dstu,0
продовж.,продовження,,dstu,0
проектно-конструкторське бюро,ПКБ,Скорочується також у заголовку опису,dstu,0
проектув.,проектування,,dstu,0
пром-сть,промисловість,,dstu,0
пром.,промисловий,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
пропоз.,пропозиція,,dstu,0
просп.,проспект,При назві,dstu,1
проф.,професійний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
проф.,професор,При прізвищі,dstu,1
проф.-викл.,професорсько-викладацький,,dstu,0
профспілка,професійна спілка,Скорочується також у заголовку опису,dstu,0
псевд.,псевдонім,,dstu,0
пстрічка,перфострічка,,dstu,0
публ.,публікація,,dstu,0
публіц.,публіцистика,,dstu,0
публіч.,публічний,,dstu,0
р-н,район,,dstu,0
радіоелектрон.,радіоелектроніка,Скорочується також у заголовку опису,dstu,0
